player=0,SET:CEFG
player=1,SET:BCEH
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
player=0,MOV:B,W
player=1,MOV:G,S
player=0,MOV:B,E
player=1,MOV:G,N
winner=2
