player=1,SET:ACDH
player=0,SET:CDEF
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
player=0,MOV:B,S
player=1,MOV:B,S
player=0,MOV:B,N
player=1,MOV:B,N
winner=2
