player=1,SET:ABCD
player=0,SET:BCFG
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
player=0,MOV:B,W
player=1,MOV:E,N
player=0,MOV:B,E
player=1,MOV:E,S
winner=2
