player=0,SET:DEFH
player=1,SET:BCDH
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
player=0,MOV:F,S
player=1,MOV:G,S
player=0,MOV:F,N
player=1,MOV:G,N
winner=2
